2021-05-24 16:15:53,345 [AUDIT] Token created by 'jffe@000': tokenId='1e63fd67-e31d-4e31-84b9-3d778556805d', issuer='jffe@000', subject='jffe@000', expiry=1621873553335, refreshable=false
2021-05-24 16:25:53,333 [AUDIT] Token created by 'jffe@000': tokenId='57f500ad-c20c-4bcb-a08f-a6e91002fc32', issuer='jffe@000', subject='jffe@000', expiry=1621874153332, refreshable=false
2021-05-24 16:25:53,335 [AUDIT] Token created by 'jffe@000': tokenId='6feb2558-c325-45c4-b313-b48721c99d89', issuer='jffe@000', subject='jffe@000', expiry=1621874153335, refreshable=false
2021-05-24 16:25:53,336 [AUDIT] Token created by 'jffe@000': tokenId='5e5950de-c294-4c52-813d-513f2d20a91e', issuer='jffe@000', subject='jffe@000', expiry=1621874153336, refreshable=false
2021-05-24 16:25:53,340 [AUDIT] Token created by 'jffe@000': tokenId='24ade9ed-04c9-425b-b54c-5610e6ba6f3a', issuer='jffe@000', subject='jffe@000', expiry=1621874153340, refreshable=false
2021-05-24 16:35:26,111 [AUDIT] Token revoked by 'anonymous': tokenId='fe853cbe-f47a-40e6-8176-3a57cd515515', issuer='jfrt@01egqnftzj6k361sybwh4017ts', subject='jfrt@01egqnftzj6k361sybwh4017ts', expiry=none, refreshable=false
2021-05-24 16:35:26,123 [AUDIT] Token revoked by 'anonymous': tokenId='29008b54-d62e-4b6d-a09c-d1a54df324c5', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-05-24 16:35:26,127 [AUDIT] Token revoked by 'anonymous': tokenId='7fedf39f-ad59-4a94-8f42-1ca49ca76476', issuer='jfmd@01egqnfnbcnw7kzmxycx813qb6', subject='jfmd@01egqnfnbcnw7kzmxycx813qb6', expiry=none, refreshable=false
2021-05-24 16:35:53,401 [AUDIT] Token created by 'jffe@000': tokenId='4e0781cc-0b77-4cab-9d30-1f4c517c079b', issuer='jffe@000', subject='jffe@000', expiry=1621874753401, refreshable=false
2021-05-24 16:35:53,403 [AUDIT] Token created by 'jffe@000': tokenId='7cb9f116-5629-4c80-af16-3a564478bce2', issuer='jffe@000', subject='jffe@000', expiry=1621874753403, refreshable=false
